,report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
649,1984,CA01900,"Los Angeles County, CA",1078849.0,10898.0,176.0,489.0,6402.0,3831.0,12.0,1010.15,16.31,45.33,593.41,355.1
650,1984,CA01942,"Los Angeles, CA",3144256.0,51442.0,759.0,2347.0,21013.0,27323.0,12.0,1636.06,24.14,74.64,668.3,868.98
652,1984,TNMPD00,"Memphis, TN",654666.0,9158.0,113.0,794.0,3488.0,4763.0,12.0,1398.88,17.26,121.28,532.79,727.55
653,1984,AZ00717,"Mesa, AZ",181287.0,871.0,6.0,56.0,682.0,127.0,12.0,480.45,3.31,30.89,376.2,70.05
654,1984,FL01300,"Miami-Dade County, FL",883352.0,13052.0,171.0,439.0,7883.0,4559.0,12.0,1477.55,19.36,49.7,892.4,516.1
655,1984,FL01306,"Miami, FL",400646.0,10928.0,170.0,273.0,4780.0,5705.0,12.0,2727.59,42.43,68.14,1193.07,1423.95
656,1984,WIMPD00,"Milwaukee, WI",632458.0,3456.0,44.0,292.0,1249.0,1871.0,12.0,546.44,6.96,46.17,197.48,295.83
657,1984,MN02711,"Minneapolis, MN",370866.0,3883.0,27.0,392.0,1724.0,1740.0,12.0,1047.01,7.28,105.7,464.86,469.17
658,1984,MD01604,"Montgomery County, MD",549800.0,1540.0,14.0,137.0,798.0,591.0,12.0,280.1,2.55,24.92,145.14,107.49
659,1984,TN01901,"Nashville, TN",475744.0,3104.0,72.0,410.0,1184.0,1438.0,12.0,652.45,15.13,86.18,248.87,302.26
660,1984,NY02900,"Nassau County, NY",1057700.0,1923.0,34.0,67.0,771.0,1051.0,12.0,181.81,3.21,6.33,72.89,99.37
661,1984,LANPD00,"New Orleans, LA",576071.0,8687.0,214.0,555.0,3213.0,4705.0,12.0,1507.97,37.15,96.34,557.74,816.74
662,1984,NY03030,"New York City, NY",7167121.0,132292.0,1450.0,3829.0,47472.0,79541.0,12.0,1845.82,20.23,53.42,662.36,1109.8
663,1984,NJNPD00,"Newark, NJ",324961.0,8580.0,87.0,589.0,3244.0,4660.0,12.0,2640.32,26.77,181.25,998.27,1434.02
664,1984,CA00109,"Oakland, CA",358566.0,6388.0,115.0,426.0,2677.0,3170.0,12.0,1781.54,32.07,118.81,746.59,884.08
665,1984,OK05506,"Oklahoma City, OK",439249.0,4259.0,65.0,516.0,2075.0,1603.0,12.0,969.61,14.8,117.47,472.4,364.94
666,1984,NB02802,"Omaha, NE",357790.0,2410.0,24.0,202.0,1654.0,530.0,12.0,673.58,6.71,56.46,462.28,148.13
667,1984,FL04804,"Orlando, FL",140541.0,2387.0,18.0,146.0,1421.0,802.0,12.0,1698.44,12.81,103.88,1011.09,570.65
668,1984,PAPEP00,"Philadelphia, PA",1667545.0,15599.0,263.0,937.0,5034.0,9365.0,12.0,935.45,15.77,56.19,301.88,561.6
669,1984,AZ00723,"Phoenix, AZ",870279.0,6372.0,101.0,525.0,3640.0,2106.0,12.0,732.18,11.61,60.33,418.26,241.99
670,1984,PAPPD00,"Pittsburgh, PA",415475.0,4564.0,47.0,224.0,1081.0,3212.0,12.0,1098.5,11.31,53.91,260.18,773.09
671,1984,OR02602,"Portland, OR",367055.0,7408.0,34.0,370.0,3962.0,3042.0,12.0,2018.23,9.26,100.8,1079.4,828.76
672,1984,MD01721,"Prince George's County, MD",574838.0,4700.0,39.0,345.0,2222.0,2094.0,12.0,817.62,6.78,60.02,386.54,364.28
673,1984,NC09201,"Raleigh, NC",158028.0,947.0,8.0,47.0,586.0,306.0,12.0,599.26,5.06,29.74,370.82,193.64
674,1984,CA03404,"Sacramento, CA",300248.0,3252.0,45.0,248.0,1314.0,1645.0,12.0,1083.1,14.99,82.6,437.64,547.88
675,1984,UT01803,"Salt Lake City, UT",173136.0,1088.0,8.0,98.0,492.0,490.0,12.0,628.41,4.62,56.6,284.17,283.01
676,1984,TXSPD00,"San Antonio, TX",857070.0,5388.0,160.0,745.0,1826.0,2657.0,12.0,628.65,18.67,86.92,213.05,310.01
677,1984,CA03711,"San Diego, CA",952933.0,5931.0,103.0,393.0,2819.0,2616.0,12.0,622.39,10.81,41.24,295.82,274.52
678,1984,CA03801,"San Francisco, CA",719559.0,9372.0,73.0,495.0,3582.0,5222.0,12.0,1302.46,10.15,68.79,497.8,725.72
679,1984,CA04313,"San Jose, CA",685792.0,3295.0,48.0,421.0,1651.0,1175.0,12.0,480.47,7.0,61.39,240.74,171.33
680,1984,WASPD00,"Seattle, WA",497598.0,5553.0,50.0,448.0,2669.0,2386.0,12.0,1115.96,10.05,90.03,536.38,479.5
681,1984,MOSPD00,"St. Louis, MO",442528.0,7729.0,128.0,349.0,4140.0,3112.0,12.0,1746.56,28.92,78.87,935.53,703.23
682,1984,NY05101,"Suffolk County, NY",1175588.0,1650.0,25.0,93.0,782.0,750.0,8.0,140.36,2.13,7.91,66.52,63.8
683,1984,FL02902,"Tampa, FL",289355.0,5852.0,52.0,277.0,3680.0,1843.0,12.0,2022.43,17.97,95.73,1271.79,636.93
684,1984,AZ01003,"Tucson, AZ",372146.0,2959.0,25.0,282.0,1843.0,809.0,12.0,795.12,6.72,75.78,495.24,217.39
685,1984,OK07205,"Tulsa, OK",385394.0,2619.0,30.0,246.0,1439.0,904.0,12.0,679.56,7.78,63.83,373.38,234.57
686,1984,VA12800,"Virginia Beach, VA",290678.0,618.0,13.0,118.0,252.0,235.0,12.0,212.61,4.47,40.59,86.69,80.85
687,1984,DCMPD00,"Washington, DC",623000.0,10725.0,175.0,366.0,4097.0,6087.0,12.0,1721.51,28.09,58.75,657.62,977.05
688,1984,KS08703,"Wichita, KS",291555.0,1328.0,12.0,207.0,658.0,451.0,12.0,455.49,4.12,71.0,225.69,154.69
690,1985,NM00101,"Albuquerque, NM",357051.0,4105.0,42.0,238.0,2578.0,1247.0,12.0,1149.7,11.76,66.66,722.03,349.25
691,1985,TX22001,"Arlington, TX",218931.0,1110.0,18.0,105.0,688.0,299.0,12.0,507.01,8.22,47.96,314.25,136.57
692,1985,GAAPD00,"Atlanta, GA",436214.0,11610.0,145.0,683.0,5990.0,4792.0,12.0,2661.54,33.24,156.57,1373.18,1098.54
693,1985,CO00101,"Aurora, CO",198033.0,2250.0,10.0,89.0,1717.0,434.0,12.0,1136.17,5.05,44.94,867.03,219.16
694,1985,TX22701,"Austin, TX",406469.0,2363.0,52.0,489.0,746.0,1076.0,12.0,581.35,12.79,120.3,183.53,264.72
695,1985,MD00301,"Baltimore County, MD",679708.0,6775.0,24.0,179.0,5491.0,1081.0,12.0,996.75,3.53,26.33,807.85,159.04
696,1985,MDBPD00,"Baltimore, MD",771097.0,15498.0,213.0,592.0,6922.0,7771.0,12.0,2009.86,27.62,76.77,897.68,1007.79
697,1985,MA01301,"Boston, MA",573131.0,11887.0,87.0,532.0,5036.0,6232.0,12.0,2074.05,15.18,92.82,878.68,1087.36
698,1985,NY01401,"Buffalo, NY",339890.0,3411.0,31.0,291.0,1699.0,1390.0,12.0,1003.56,9.12,85.62,499.87,408.96
699,1985,NC06001,"Charlotte, NC",335690.0,4575.0,56.0,226.0,3172.0,1121.0,12.0,1362.86,16.68,67.32,944.92,333.94
700,1985,ILCPD00,"Chicago, IL",2998841.0,60011.0,666.0,3357.0,29096.0,26892.0,12.0,2001.14,22.21,111.94,970.24,896.75
701,1985,OHCIP00,"Cincinnati, OH",370198.0,3275.0,45.0,360.0,1628.0,1242.0,12.0,884.66,12.16,97.25,439.76,335.5
